Seq_1557_LinJ.33,,,,,,,,
Seq_1558_LinJ.33,Seq_1560_LinJ.33,Seq_1561_LinJ.33,Seq_1562_LinJ.33,Seq_1566_LinJ.33,Seq_1569_LinJ.33,,,
Seq_1559_LinJ.33,Seq_1563_LinJ.33,Seq_1565_LinJ.33,,,,,,
Seq_1564_LinJ.33,,,,,,,,
Seq_1567_LinJ.33,,,,,,,,
Seq_1568_LinJ.33,,,,,,,,
Seq_1570_LinJ.33,Seq_1572_LinJ.33,Seq_1574_LinJ.33,Seq_1575_LinJ.33,Seq_1576_LinJ.33,Seq_1577_LinJ.33,Seq_1579_LinJ.33,,
Seq_1571_LinJ.33,Seq_1573_LinJ.33,Seq_1578_LinJ.33,,,,,,
Seq_1580_LinJ.33,Seq_1581_LinJ.33,Seq_1582_LinJ.33,Seq_1583_LinJ.33,Seq_1584_LinJ.33,Seq_1585_LinJ.33,Seq_1586_LinJ.33,Seq_1587_LinJ.33,Seq_1592_LinJ.33
Seq_1588_LinJ.33,,,,,,,,
Seq_1589_LinJ.33,,,,,,,,
Seq_1590_LinJ.33,,,,,,,,
Seq_1591_LinJ.33,,,,,,,,
Seq_1593_LinJ.33,,,,,,,,
Seq_1594_LinJ.33,Seq_1602_LinJ.33,,,,,,,
Seq_1596_LinJ.33,,,,,,,,
Seq_1597_LinJ.33,,,,,,,,
Seq_1599_LinJ.33,,,,,,,,
Seq_1600_LinJ.33,,,,,,,,
Seq_1601_LinJ.33,,,,,,,,
Seq_1607_LinJ.33,Seq_1610_LinJ.33,,,,,,,
Seq_1608_LinJ.33,,,,,,,,
Seq_1595_LinJ.33,Seq_1598_LinJ.33,Seq_1603_LinJ.33,Seq_1604_LinJ.33,Seq_1605_LinJ.33,Seq_1606_LinJ.33,Seq_1609_LinJ.33,,
Seq_1611_LinJ.33,,,,,,,,
Seq_1612_LinJ.33,Seq_1613_LinJ.33,Seq_1614_LinJ.33,Seq_1615_LinJ.33,Seq_1617_LinJ.33,Seq_1618_LinJ.33,Seq_1619_LinJ.33,Seq_1621_LinJ.33,Seq_1626_LinJ.33
Seq_1616_LinJ.33,Seq_1627_LinJ.33,,,,,,,
Seq_1620_LinJ.33,,,,,,,,
Seq_1622_LinJ.33,Seq_1623_LinJ.33,,,,,,,
Seq_1624_LinJ.33,,,,,,,,
Seq_1625_LinJ.33,,,,,,,,
Seq_1628_LinJ.33,,,,,,,,
Seq_1629_LinJ.33,Seq_1631_LinJ.33,Seq_1637_LinJ.33,,,,,,
Seq_1630_LinJ.33,Seq_1632_LinJ.33,Seq_1638_LinJ.33,,,,,,
Seq_1633_LinJ.33,Seq_1634_LinJ.33,Seq_1635_LinJ.33,,,,,,
Seq_1636_LinJ.33,Seq_1639_LinJ.33,Seq_1640_LinJ.33,,,,,,
Seq_1643_LinJ.33,Seq_1644_LinJ.33,Seq_1648_LinJ.33,Seq_1649_LinJ.33,Seq_1651_LinJ.33,Seq_1652_LinJ.33,Seq_1655_LinJ.33,,
Seq_1641_LinJ.33,Seq_1642_LinJ.33,Seq_1645_LinJ.33,Seq_1650_LinJ.33,Seq_1653_LinJ.33,,,,
Seq_1646_LinJ.33,,,,,,,,
Seq_1647_LinJ.33,,,,,,,,
Seq_1654_LinJ.33,,,,,,,,
Seq_1656_LinJ.33,,,,,,,,
Seq_1657_LinJ.33,,,,,,,,
Seq_1658_LinJ.33,Seq_1660_LinJ.33,Seq_1662_LinJ.33,Seq_1666_LinJ.33,,,,,
Seq_1659_LinJ.33,Seq_1661_LinJ.33,,,,,,,
Seq_1663_LinJ.33,Seq_1664_LinJ.33,Seq_1665_LinJ.33,Seq_1667_LinJ.33,,,,,
Seq_1668_LinJ.33,,,,,,,,
