Seq_428_LinJ.16,,,,,,
Seq_429_LinJ.16,Seq_430_LinJ.16,Seq_431_LinJ.16,,,,
Seq_432_LinJ.16,,,,,,
Seq_433_LinJ.16,Seq_434_LinJ.16,Seq_435_LinJ.16,Seq_437_LinJ.16,Seq_438_LinJ.16,Seq_439_LinJ.16,Seq_440_LinJ.16
Seq_436_LinJ.16,,,,,,
Seq_441_LinJ.16,Seq_444_LinJ.16,Seq_447_LinJ.16,,,,
Seq_442_LinJ.16,,,,,,
Seq_443_LinJ.16,,,,,,
Seq_445_LinJ.16,Seq_448_LinJ.16,Seq_450_LinJ.16,Seq_451_LinJ.16,Seq_452_LinJ.16,Seq_453_LinJ.16,Seq_454_LinJ.16
Seq_446_LinJ.16,Seq_449_LinJ.16,,,,,
Seq_455_LinJ.16,,,,,,
Seq_456_LinJ.16,,,,,,
Seq_457_LinJ.16,,,,,,
Seq_458_LinJ.16,,,,,,
Seq_459_LinJ.16,,,,,,
Seq_460_LinJ.16,,,,,,
Seq_461_LinJ.16,,,,,,
Seq_462_LinJ.16,Seq_464_LinJ.16,Seq_465_LinJ.16,,,,
Seq_463_LinJ.16,,,,,,
Seq_466_LinJ.16,,,,,,
