qseqid,sseqid,pident,length,qstart,qend,sstart,send,evalue,bitscore,qlen,slen
Seq_225_LinJ.19,LinJ.19,100.0,604,1,604,357352,357955,0.0,1116.0,604,706124
Seq_225_LinJ.19,LinJ.19,78.571,210,1,208,361250,361457,2.3000000000000003e-31,135.0,604,706124
Seq_225_LinJ.19,LinJ.19,78.571,210,1,208,364832,365039,2.3000000000000003e-31,135.0,604,706124
Seq_225_LinJ.19,LinJ.19,78.571,210,1,208,368416,368623,2.3000000000000003e-31,135.0,604,706124
Seq_225_LinJ.19,LinJ.19,78.365,208,1,206,347545,347750,2.9699999999999998e-30,132.0,604,706124
Seq_225_LinJ.19,LinJ.19,78.365,208,1,206,348633,348838,2.9699999999999998e-30,132.0,604,706124
Seq_225_LinJ.19,LinJ.19,78.365,208,1,206,350807,351012,2.9699999999999998e-30,132.0,604,706124
Seq_225_LinJ.19,LinJ.19,78.365,208,1,206,355162,355367,2.9699999999999998e-30,132.0,604,706124
Seq_225_LinJ.19,LinJ.19,78.365,208,1,206,360162,360367,2.9699999999999998e-30,132.0,604,706124
Seq_225_LinJ.19,LinJ.19,78.365,208,1,206,363744,363949,2.9699999999999998e-30,132.0,604,706124
Seq_225_LinJ.19,LinJ.19,78.365,208,1,206,367328,367533,2.9699999999999998e-30,132.0,604,706124
Seq_225_LinJ.19,LinJ.19,78.365,208,1,206,354075,354279,1.0700000000000001e-29,130.0,604,706124
Seq_225_LinJ.19,LinJ.19,77.885,208,1,206,349720,349925,1.38e-28,126.0,604,706124
Seq_225_LinJ.19,LinJ.19,77.885,208,1,206,351894,352099,1.38e-28,126.0,604,706124
Seq_225_LinJ.19,LinJ.19,78.571,196,1,194,352987,353180,1.38e-28,126.0,604,706124
Seq_225_LinJ.19,LinJ.04,89.189,37,549,583,401533,401569,0.000399,45.4,604,466507
Seq_225_LinJ.19,LinJ.34,93.103,29,548,576,468144,468172,0.001,43.6,604,1852095
Seq_225_LinJ.19,LinJ.21,96.0,25,545,568,8570,8594,0.019,39.9,604,764861
Seq_225_LinJ.19,LinJ.25,95.652,23,520,541,398478,398500,0.24,36.2,604,895083
Seq_225_LinJ.19,LinJ.27,89.286,28,438,465,153095,153122,0.24,36.2,604,1175412
Seq_225_LinJ.19,LinJ.16,95.652,23,577,598,66875,66897,0.24,36.2,604,688184
Seq_225_LinJ.19,LinJ.19,100.0,18,47,64,130784,130801,0.86,34.4,604,706124
Seq_225_LinJ.19,LinJ.30,95.238,21,32,52,874471,874451,0.86,34.4,604,1353302
Seq_225_LinJ.19,LinJ.28,91.667,24,165,188,656453,656430,0.86,34.4,604,1205031
Seq_225_LinJ.19,LinJ.05,92.0,25,523,545,319756,319780,0.86,34.4,604,467714
Seq_225_LinJ.19,LinJ.12,87.097,31,5,35,15254,15283,0.86,34.4,604,593475
Seq_225_LinJ.19,LinJ.27,88.889,27,505,529,176649,176675,3.1,32.5,604,1175412
Seq_225_LinJ.19,LinJ.21,100.0,17,525,541,561280,561264,3.1,32.5,604,764861
Seq_225_LinJ.19,LinJ.27,91.304,23,49,71,257408,257430,3.1,32.5,604,1175412
Seq_225_LinJ.19,LinJ.27,95.238,21,521,541,645360,645341,3.1,32.5,604,1175412
Seq_225_LinJ.19,LinJ.04,95.238,21,13,32,413605,413625,3.1,32.5,604,466507
Seq_225_LinJ.19,LinJ.34,100.0,17,78,94,705246,705262,3.1,32.5,604,1852095
Seq_225_LinJ.19,LinJ.30,83.333,36,116,151,933335,933302,3.1,32.5,604,1353302
Seq_225_LinJ.19,LinJ.30,88.889,27,177,203,475290,475314,3.1,32.5,604,1353302
Seq_225_LinJ.19,LinJ.12,95.0,20,117,136,30637,30618,3.1,32.5,604,593475
Seq_225_LinJ.19,LinJ.35,95.238,21,517,537,636708,636727,3.1,32.5,604,2019672
Seq_225_LinJ.19,LinJ.32,95.0,20,233,252,1239737,1239718,3.1,32.5,604,1544760
Seq_225_LinJ.19,LinJ.26,88.889,27,523,549,230759,230735,3.1,32.5,604,1055293
Seq_225_LinJ.19,LinJ.22,100.0,17,528,544,302682,302666,3.1,32.5,604,782154
Seq_225_LinJ.19,LinJ.22,100.0,17,528,544,310750,310734,3.1,32.5,604,782154
Seq_225_LinJ.19,LinJ.22,100.0,17,528,544,318194,318178,3.1,32.5,604,782154
Seq_225_LinJ.19,LinJ.22,100.0,17,528,544,399662,399678,3.1,32.5,604,782154
Seq_225_LinJ.19,LinJ.22,95.0,20,10,29,481621,481602,3.1,32.5,604,782154
Seq_225_LinJ.19,LinJ.20,95.0,20,185,204,186023,186004,3.1,32.5,604,731244
Seq_225_LinJ.19,LinJ.20,100.0,17,123,139,384502,384486,3.1,32.5,604,731244
Seq_225_LinJ.19,LinJ.17,76.667,60,523,582,504259,504316,3.1,32.5,604,690898
Seq_225_LinJ.19,LinJ.15,100.0,17,75,91,219013,219029,3.1,32.5,604,650324
Seq_225_LinJ.19,LinJ.10,91.667,24,43,66,49583,49561,3.1,32.5,604,588579
Seq_225_LinJ.19,LinJ.10,100.0,17,85,101,349010,349026,3.1,32.5,604,588579
Seq_225_LinJ.19,LinJ.08,95.0,20,439,458,33529,33510,3.1,32.5,604,515747
Seq_225_LinJ.19,LinJ.07,95.238,21,97,116,48357,48377,3.1,32.5,604,592866
Seq_225_LinJ.19,LinJ.07,95.0,20,522,541,235453,235434,3.1,32.5,604,592866
