qseqid,sseqid,pident,length,qstart,qend,sstart,send,evalue,bitscore,qlen,slen
Seq_44_LinJ.07,LinJ.07,100.0,196,1,196,213499,213694,2.89e-100,363.0,196,592866
Seq_44_LinJ.07,LinJ.07,99.49,196,1,196,303388,303583,1.34e-98,357.0,196,592866
Seq_44_LinJ.07,LinJ.18,80.412,97,12,108,606751,606846,5.45e-13,73.1,196,720431
Seq_44_LinJ.07,LinJ.18,78.899,109,2,109,467163,467268,1.96e-12,71.3,196,720431
Seq_44_LinJ.07,LinJ.18,78.704,108,1,108,635398,635292,1.96e-12,71.3,196,720431
Seq_44_LinJ.07,LinJ.32,81.818,66,2,67,819103,819038,5.49e-08,56.5,196,1544760
Seq_44_LinJ.07,LinJ.36,82.812,64,7,69,2120066,2120005,1.98e-07,54.7,196,2743073
Seq_44_LinJ.07,LinJ.18,80.282,71,40,109,436530,436462,2.56e-06,51.0,196,720431
Seq_44_LinJ.07,LinJ.36,71.642,201,1,196,2500256,2500449,0.000119,45.4,196,2743073
Seq_44_LinJ.07,LinJ.35,88.235,34,30,63,1873160,1873127,0.002,41.7,196,2019672
Seq_44_LinJ.07,LinJ.23,74.757,103,4,104,297846,297747,0.002,41.7,196,786683
Seq_44_LinJ.07,LinJ.22,95.833,24,86,109,340693,340670,0.006,39.9,196,782154
Seq_44_LinJ.07,LinJ.22,95.833,24,86,109,345434,345411,0.006,39.9,196,782154
Seq_44_LinJ.07,LinJ.22,95.833,24,86,109,354457,354434,0.006,39.9,196,782154
Seq_44_LinJ.07,LinJ.29,78.462,65,49,111,951870,951809,0.02,38.1,196,1272419
Seq_44_LinJ.07,LinJ.34,95.652,23,37,58,802779,802757,0.072,36.2,196,1852095
Seq_44_LinJ.07,LinJ.34,95.652,23,37,58,826154,826132,0.072,36.2,196,1852095
Seq_44_LinJ.07,LinJ.36,76.667,60,137,196,2088707,2088648,0.26,34.4,196,2743073
Seq_44_LinJ.07,LinJ.36,76.667,60,137,196,2119924,2119865,0.26,34.4,196,2743073
Seq_44_LinJ.07,LinJ.29,73.394,109,4,109,596212,596315,0.26,34.4,196,1272419
Seq_44_LinJ.07,LinJ.34,95.455,22,29,49,208817,208838,0.26,34.4,196,1852095
Seq_44_LinJ.07,LinJ.35,76.923,65,1,63,1521336,1521399,0.26,34.4,196,2019672
Seq_44_LinJ.07,LinJ.31,100.0,18,8,25,102010,101993,0.26,34.4,196,1529246
Seq_44_LinJ.07,LinJ.33,79.245,53,1,51,1396194,1396245,0.26,34.4,196,1532318
Seq_44_LinJ.07,LinJ.27,100.0,18,8,25,293335,293352,0.26,34.4,196,1175412
Seq_44_LinJ.07,LinJ.03,88.889,27,96,122,191123,191097,0.26,34.4,196,389657
Seq_44_LinJ.07,LinJ.31,95.0,20,54,73,884689,884670,0.93,32.5,196,1529246
Seq_44_LinJ.07,LinJ.31,95.0,20,54,73,901859,901840,0.93,32.5,196,1529246
Seq_44_LinJ.07,LinJ.33,95.0,20,177,196,824322,824341,0.93,32.5,196,1532318
Seq_44_LinJ.07,LinJ.33,100.0,17,38,54,886871,886887,0.93,32.5,196,1532318
Seq_44_LinJ.07,LinJ.18,86.667,30,33,62,293845,293872,0.93,32.5,196,720431
Seq_44_LinJ.07,LinJ.32,75.806,62,133,194,346757,346818,0.93,32.5,196,1544760
Seq_44_LinJ.07,LinJ.28,87.097,31,38,65,145804,145774,0.93,32.5,196,1205031
Seq_44_LinJ.07,LinJ.03,100.0,17,42,58,264452,264436,0.93,32.5,196,389657
Seq_44_LinJ.07,LinJ.31,91.304,23,1,23,1259172,1259150,0.93,32.5,196,1529246
Seq_44_LinJ.07,LinJ.31,95.0,20,54,73,908647,908628,0.93,32.5,196,1529246
Seq_44_LinJ.07,LinJ.16,91.667,24,40,63,252319,252297,0.93,32.5,196,688184
Seq_44_LinJ.07,LinJ.01,91.667,24,37,59,52075,52052,0.93,32.5,196,278267
Seq_44_LinJ.07,LinJ.17,88.462,26,25,50,446523,446548,0.93,32.5,196,690898
Seq_44_LinJ.07,LinJ.32,100.0,16,52,67,605391,605376,3.3,30.7,196,1544760
Seq_44_LinJ.07,LinJ.22,86.207,29,33,60,288569,288541,3.3,30.7,196,782154
Seq_44_LinJ.07,LinJ.23,95.0,20,59,77,219428,219447,3.3,30.7,196,786683
Seq_44_LinJ.07,LinJ.35,90.909,22,79,100,72533,72554,3.3,30.7,196,2019672
Seq_44_LinJ.07,LinJ.18,95.0,20,33,52,301914,301896,3.3,30.7,196,720431
Seq_44_LinJ.07,LinJ.32,100.0,16,81,96,417488,417503,3.3,30.7,196,1544760
Seq_44_LinJ.07,LinJ.18,100.0,16,166,181,596659,596644,3.3,30.7,196,720431
Seq_44_LinJ.07,LinJ.32,100.0,16,165,180,1452724,1452709,3.3,30.7,196,1544760
Seq_44_LinJ.07,LinJ.33,90.909,22,2,23,533094,533073,3.3,30.7,196,1532318
Seq_44_LinJ.07,LinJ.28,88.462,26,42,66,795000,795025,3.3,30.7,196,1205031
Seq_44_LinJ.07,LinJ.31,88.462,26,160,185,937555,937579,3.3,30.7,196,1529246
Seq_44_LinJ.07,LinJ.34,91.304,23,156,176,132971,132949,3.3,30.7,196,1852095
Seq_44_LinJ.07,LinJ.26,100.0,16,45,60,832685,832700,3.3,30.7,196,1055293
Seq_44_LinJ.07,LinJ.25,94.737,19,29,47,217259,217241,3.3,30.7,196,895083
Seq_44_LinJ.07,LinJ.25,100.0,16,100,115,325005,325020,3.3,30.7,196,895083
Seq_44_LinJ.07,LinJ.24,91.304,23,32,54,302417,302397,3.3,30.7,196,863815
Seq_44_LinJ.07,LinJ.19,100.0,16,21,36,383417,383432,3.3,30.7,196,706124
Seq_44_LinJ.07,LinJ.19,85.714,28,169,196,460545,460572,3.3,30.7,196,706124
Seq_44_LinJ.07,LinJ.19,85.714,28,169,196,664803,664830,3.3,30.7,196,706124
Seq_44_LinJ.07,LinJ.14,90.909,22,23,44,628283,628262,3.3,30.7,196,656132
Seq_44_LinJ.07,LinJ.10,94.737,19,51,69,341846,341828,3.3,30.7,196,588579
Seq_44_LinJ.07,LinJ.08,84.375,32,44,75,507066,507036,3.3,30.7,196,515747
Seq_44_LinJ.07,LinJ.06,91.304,23,2,23,403727,403749,3.3,30.7,196,525234
Seq_44_LinJ.07,LinJ.05,88.0,25,9,33,229006,228982,3.3,30.7,196,467714
Seq_44_LinJ.07,LinJ.04,100.0,16,181,196,240704,240689,3.3,30.7,196,466507
